id,name,lastname,price,flycode,typePassenger,statusFlight
100,Georgeta,San Martin,10000,IB0800A,Clase ejecutiva,Aterrizado
101,Marcille,Gonzalez,10000,IB0800A,Clase ejecutiva,Aterrizado
102,Ertha,Fernandez,10000,IB0800A,Clase ejecutiva,Aterrizado
103,Desiri,Rodriguez,25000,MM0987B,Clase ejecutiva,En Horario
104,Geneva,Lopez,33000,MM0987B,Clase ejecutiva,En Horario
105,Kilian,Martinez,42000,MM0987B,Clase ejecutiva,En Horario
106,Nance,Sanchez,10000,MM0987B,Clase ejecutiva,En Horario
107,Gaven,Perez,10000,MM0987B,Clase ejecutiva,En Horario
108,Carlie,Gomez,10000,MM0987B,Clase ejecutiva,En Horario
109,Trixie,Martin,42000,IB0800A,Clase ejecutiva,Aterrizado
110,Dominick,Jimenez,30000,IB0800A,Clase ejecutiva,Aterrizado
111,Petey,Ruiz,15000,IB0800A,Clase ejecutiva,Aterrizado
112,Tersina,Hernandez,30000,IB0800A,Clase ejecutiva,Aterrizado
113,Johnathon,Diaz,15000,IB0800A,Clase ejecutiva,Aterrizado
114,Freddie,Moreno,12000,IB0800A,Clase ejecutiva,Aterrizado
115,Harmon,Alvarez,50000,IB0800A,Clase ejecutiva,Aterrizado
116,Tracey,Munioz,20000,IB0800A,Clase ejecutiva,Aterrizado
117,Cherrita,Romero,33000,MM0987B,Clase ejecutiva,En Horario
118,Stu,Alonso,12000,MM0987B,Clase ejecutiva,En Horario
119,Glenda,Gutierrez,37000,MM0987B,Clase ejecutiva,En Horario
120,Lorettalorna,Navarro,25000,MM0987B,Clase ejecutiva,En Horario
121,Patrizio,Torres,15000,IB0800A,Clase ejecutiva,Aterrizado
122,Linda,Dominguez,30000,IB0800A,Clase ejecutiva,Aterrizado
123,Pippa,Vazquez,20000,IB0800A,Clase ejecutiva,Aterrizado
124,Pen,Ramos,18000,IB0800A,Economica,Aterrizado
125,Esteban,Gonzalez,15000,IB0800A,Economica,Aterrizado
126,Fonzie,Munioz,15000,IB0800A,Economica,Aterrizado
127,Cindelyn,Rojas,12000,IB0800A,Economica,Aterrizado
128,Zacharie,Diaz,30000,BA2491A,Clase ejecutiva,Aterrizado
129,Vina,Perez,42000,BA2491A,Clase ejecutiva,Aterrizado
130,Omero,Soto,10000,BA2491A,Clase ejecutiva,Aterrizado
131,Tom,Contreras,33000,BA2491A,Clase ejecutiva,Aterrizado
132,Dante,Silva,30000,BA2491A,Clase ejecutiva,Aterrizado
133,Cordy,Martinez,18000,BA2491A,Clase ejecutiva,Aterrizado
134,Stephenie,Sepulveda,50000,BA2491A,Clase ejecutiva,Aterrizado
135,Dunstan,Morales,20000,BA2491A,Clase ejecutiva,Aterrizado
136,Gideon,Rodriguez,15000,BA2491A,Clase ejecutiva,Aterrizado
137,Johnette,Lopez,10000,BA2491A,Clase ejecutiva,Aterrizado
138,Brynn,Fuentes,50000,BA2491A,Clase ejecutiva,Aterrizado
139,Yankee,Hernandez,42000,BA2491A,Clase ejecutiva,Aterrizado
140,Corbin,Torres,42000,BA2491A,Clase ejecutiva,Aterrizado
141,Coreen,Araya,18000,IB0800A,Economica,Aterrizado
142,Tanya,Flores,30000,IB0800A,Economica,Aterrizado
143,Jenna,Espinoza,25000,IB0800A,Economica,Aterrizado
144,Flora,Valenzuela,33000,IB0800A,Economica,Aterrizado
145,Dianna,Castillo,20000,IB0800A,Economica,Aterrizado
146,Armand,Tapia,15000,IB0800A,Economica,Aterrizado
147,Gustie,Reyes,42000,IB0800A,Economica,Aterrizado
148,Benton,Gutierrez,12000,IB0800A,Economica,Aterrizado
149,Lena,Castro,25000,IB0800A,Economica,Aterrizado
150,Dot,Pizarro,18000,IB0800A,Economica,Aterrizado
151,Meryl,Alvarez,12000,IB0800A,Economica,Aterrizado
152,Babbie,Vasquez,15000,IB0800A,Economica,Aterrizado
153,Byram,Sanchez,42000,IB0800A,Economica,Aterrizado
154,Bertine,Fernandez,25000,IB0800A,Economica,Aterrizado
155,Osbert,Ramirez,42000,IB0800A,Economica,Aterrizado
156,Tanny,Carrasco,42000,IB0800A,Economica,Aterrizado
157,Maryjo,Gomez,12000,IB0800A,Economica,Aterrizado
158,Clarie,Cortes,42000,IB0800A,Economica,Aterrizado
159,Kipp,Herrera,15000,IB0800A,Economica,Aterrizado
160,Leonie,Nuniez,50000,IB0800A,Economica,Aterrizado
161,Ferdie,Jara,15000,IB0800A,Economica,Aterrizado
162,Ofella,Vergara,50000,IB0800A,Economica,Aterrizado
163,Pascale,Rivera,15000,IB0800A,Economica,Aterrizado
164,Cathrin,Figueroa,30000,IB0800A,Economica,Aterrizado
165,Sib,Riquelme,33000,IB0800A,Economica,Aterrizado
166,Darleen,Garcia,42000,IB0800A,Economica,Aterrizado
167,Didi,Miranda,15000,IB0800A,Economica,Aterrizado
168,Lodovico,Bravo,18000,IB0800A,Economica,Aterrizado
169,Farley,Vera,12000,IB0800A,Economica,Aterrizado
170,Devi,Molina,25000,IB0800A,Economica,Aterrizado
171,Clair,Vega,37000,IB0800A,Economica,Aterrizado
172,Addy,Campos,33000,IB0800A,Economica,Aterrizado
173,Brandon,Sandoval,18000,IB0800A,Economica,Aterrizado
174,Prentiss,Orellana,30000,IB0800A,Economica,Aterrizado
175,Lorant,Cardenas,50000,MM0987B,Clase ejecutiva,En Horario
176,Wanids,Olivares,30000,MM0987B,Clase ejecutiva,En Horario
177,Robbi,Alarcon,10000,MM0987B,Clase ejecutiva,En Horario
178,Mellicent,Gallardo,50000,MM0987B,Clase ejecutiva,En Horario
179,Lynea,Ortiz,20000,MM0987B,Clase ejecutiva,En Horario
180,Nial,Garrido,15000,MM0987B,Clase ejecutiva,En Horario
181,Guillaume,Salazar,37000,MM0987B,Clase ejecutiva,En Horario
182,Loutitia,Guzman,25000,MM0987B,Clase ejecutiva,En Horario
183,Ruthe,Henriquez,30000,MM0987B,Clase ejecutiva,En Horario
184,Eric,Saavedra,50000,MM0987B,Clase ejecutiva,En Horario
185,Marcellus,Navarro,30000,MM0987B,Clase ejecutiva,En Horario
186,Ian,Aguilera,42000,MM0987B,Clase ejecutiva,En Horario
187,Sebastien,Parra,37000,MM0987B,Clase ejecutiva,En Horario
188,Scarface,Romero,50000,MM0987B,Clase ejecutiva,En Horario
189,Maible,Aravena,18000,MM0987B,Clase ejecutiva,En Horario
190,Waldon,Vargas,30000,MM0987B,Clase ejecutiva,En Horario
191,Bethina,Vazquez,15000,MM0987B,Clase ejecutiva,En Horario
192,Farand,Caceres,42000,MM0987B,Clase ejecutiva,En Horario
193,Zolly,Yaniez,25000,MM0987B,Clase ejecutiva,En Horario
194,Philipa,Leiva,42000,TU6789B,Primera clase,Aterrizado
195,Roderigo,Escobar,20000,BA2491A,Clase ejecutiva,Aterrizado
196,Otho,Ruiz,20000,BA2491A,Clase ejecutiva,Aterrizado
197,Alasteir,Valdes,20000,BA2491A,Clase ejecutiva,Aterrizado
198,Eleonora,Vidal,42000,BA2491A,Economica,Aterrizado
199,Eliot,Salinas,12000,BA2491A,Economica,Aterrizado
200,Alana,Zuniga,30000,BA2491A,Economica,Aterrizado
201,Odey,Peña,20000,BA2491A,Economica,Aterrizado
202,Yorke,Godoy,15000,BA2491A,Economica,Aterrizado
203,Cissiee,Lagos,18000,BA2491A,Economica,Aterrizado
204,Jillana,Maldonado,18000,BA2491A,Economica,Aterrizado
205,Mallorie,Bustos,30000,TU6789B,Primera clase,Aterrizado
206,Borden,Medina,12000,TU6789B,Primera clase,Aterrizado
207,Maddie,Pino,33000,TU6789B,Primera clase,Aterrizado
208,Weider,Palma,50000,TU6789B,Primera clase,Aterrizado
209,Asia,Moreno,37000,TU6789B,Primera clase,Aterrizado
210,Sayres,Sanhueza,10000,TU6789B,Primera clase,Aterrizado
211,Marcile,Carvajal,30000,TU6789B,Primera clase,Aterrizado
212,Thomasina,Navarrete,42000,TU6789B,Primera clase,Aterrizado
213,Darwin,Saez,18000,TU6789B,Primera clase,Aterrizado
214,Nicolina,Alvarado,30000,TU6789B,Primera clase,Aterrizado
215,Nita,Donoso,12000,TU6789B,Primera clase,Aterrizado
216,Nikoletta,Poblete,12000,TU6789B,Primera clase,Aterrizado
217,Dwight,Bustamante,42000,TU6789B,Primera clase,Aterrizado
218,Romola,Toro,50000,TU6789B,Primera clase,Aterrizado
219,Kaile,Ortega,33000,TU6789B,Primera clase,Aterrizado
220,Mozes,Venegas,25000,TU6789B,Primera clase,Aterrizado
221,Aylmer,Guerrero,33000,TU6789B,Primera clase,Aterrizado
222,Marina,Mendoza,12000,TU6789B,Primera clase,Aterrizado
223,Enrico,Farias,50000,TU6789B,Primera clase,Aterrizado
224,Zonda,San Martin,33000,TU6789B,Primera clase,Aterrizado
225,Adriano,Gonzalez,33000,TU6789B,Primera clase,Aterrizado
226,Trula,Fernandez,30000,TU6789B,Primera clase,Aterrizado
227,Adel,Rodriguez,30000,TU6789B,Primera clase,Aterrizado
228,Jeniece,Lopez,15000,TU6789B,Primera clase,Aterrizado
229,Tabina,Martinez,10000,TU6789B,Primera clase,Aterrizado
230,Liana,Sanchez,33000,TU6789B,Primera clase,Aterrizado
231,Marmaduke,Perez,10000,BA2491A,Economica,Aterrizado
232,Alla,Gomez,30000,BA2491A,Economica,Aterrizado
233,Peter,Martin,12000,BA2491A,Economica,Aterrizado
234,Pietro,Jimenez,18000,BA2491A,Economica,Aterrizado
235,Hiram,Ruiz,20000,BA2491A,Economica,Aterrizado
236,Anastasia,Hernandez,18000,BA2491A,Economica,Aterrizado
237,Cathleen,Diaz,10000,TU6789B,Primera clase,Aterrizado
238,Leeanne,Moreno,15000,TU6789B,Primera clase,Aterrizado
239,Chet,Alvarez,42000,TU6789B,Primera clase,Aterrizado
240,Billie,Munioz,37000,TU6789B,Primera clase,Aterrizado
241,Alexandra,Romero,42000,TU6789B,Primera clase,Aterrizado
242,Broddie,Alonso,42000,TU6789B,Clase ejecutiva,Aterrizado
243,Brigham,Gutierrez,25000,TU6789B,Clase ejecutiva,Aterrizado
244,Cal,Navarro,42000,TU6789B,Clase ejecutiva,Aterrizado
245,Donal,Torres,18000,TU6789B,Clase ejecutiva,Aterrizado
246,Adam,Dominguez,20000,TU6789B,Clase ejecutiva,Aterrizado
247,Dotty,Vazquez,42000,TU6789B,Clase ejecutiva,Aterrizado
248,Maynard,Ramos,18000,TU6789B,Clase ejecutiva,Aterrizado
249,Jessee,Gonzalez,30000,TU6789B,Clase ejecutiva,Aterrizado
250,Tiphani,Munioz,42000,TU6789B,Clase ejecutiva,Aterrizado
251,Jenna,Rojas,30000,TU6789B,Clase ejecutiva,Aterrizado
252,Karlotte,Diaz,20000,BA2491A,Economica,Aterrizado
253,Norene,Perez,25000,BA2491A,Economica,Aterrizado
254,Morris,Soto,10000,BA2491A,Economica,Aterrizado
255,Yuri,Contreras,25000,BA2491A,Economica,Aterrizado
256,Gusty,Silva,10000,BA2491A,Economica,Aterrizado
257,Jori,Martinez,12000,BA2491A,Economica,Aterrizado
258,Sydelle,Sepulveda,30000,BA2491A,Economica,Aterrizado
259,Merrile,Morales,50000,BA2491A,Economica,Aterrizado
260,Tadd,Rodriguez,50000,TU6789B,Clase ejecutiva,Aterrizado
261,Josiah,Lopez,10000,TU6789B,Clase ejecutiva,Aterrizado
262,Melisa,Fuentes,12000,TU6789B,Clase ejecutiva,Aterrizado
263,Orelee,Hernandez,20000,TU6789B,Clase ejecutiva,Aterrizado
264,Stephen,Torres,37000,TU6789B,Clase ejecutiva,Aterrizado
265,Blair,Araya,50000,TU6789B,Clase ejecutiva,Aterrizado
266,Arel,Flores,30000,TU6789B,Clase ejecutiva,Aterrizado
267,Abbie,Espinoza,25000,TU6789B,Clase ejecutiva,Aterrizado
268,Channa,Valenzuela,50000,TU6789B,Clase ejecutiva,Aterrizado
269,Shirl,Castillo,20000,TU6789B,Clase ejecutiva,Aterrizado
270,Edlin,Tapia,20000,TU6789B,Clase ejecutiva,Aterrizado
271,Larina,Reyes,18000,TU6789B,Clase ejecutiva,Aterrizado
272,Duncan,Gutierrez,37000,TU6789B,Clase ejecutiva,Aterrizado
273,Bond,Castro,10000,TU6789B,Clase ejecutiva,Aterrizado
274,Dyann,Pizarro,50000,TU6789B,Clase ejecutiva,Aterrizado
275,Charmian,Alvarez,15000,TU6789B,Clase ejecutiva,Aterrizado
276,Dru,Vasquez,50000,TU6789B,Clase ejecutiva,Aterrizado
277,Kiel,Sanchez,50000,TU6789B,Clase ejecutiva,Aterrizado
278,Emory,Fernandez,15000,TU6789B,Clase ejecutiva,Aterrizado
279,Alberik,Ramirez,50000,TU6789B,Clase ejecutiva,Aterrizado
280,Koenraad,Carrasco,20000,TU6789B,Clase ejecutiva,Aterrizado
281,Rafaellle,Gomez,50000,TU6789B,Clase ejecutiva,Aterrizado
282,Edie,Cortes,25000,TU6789B,Clase ejecutiva,Aterrizado
283,Osbert,Herrera,15000,TU6789B,Clase ejecutiva,Aterrizado
284,Sidonia,Nuniez,10000,TU6789B,Clase ejecutiva,Aterrizado
285,Bartel,Jara,37000,TU6789B,Clase ejecutiva,Aterrizado
286,Jodi,Vergara,30000,BA2491A,Economica,Aterrizado
287,Ofelia,Rivera,30000,BA2491A,Economica,Aterrizado
288,Dudley,Figueroa,42000,BA2491A,Economica,Aterrizado
289,Dulcea,Riquelme,25000,BA2491A,Economica,Aterrizado
290,Gordon,Garcia,25000,BA2491A,Economica,Aterrizado
291,Chalmers,Miranda,10000,BA2491A,Economica,Aterrizado
292,Christiano,Bravo,50000,BA2491A,Economica,Aterrizado
293,Russell,Vera,50000,BA2491A,Economica,Aterrizado
294,Cleo,Molina,50000,BA2491A,Economica,Aterrizado
295,Catriona,Vega,42000,TU6789B,Clase ejecutiva,Aterrizado
296,Leigh,Campos,37000,TU6789B,Clase ejecutiva,Aterrizado
297,Ddene,Sandoval,12000,TU6789B,Clase ejecutiva,Aterrizado
298,Sayre,Orellana,18000,TU6789B,Economica,Aterrizado
299,Jody,Cardenas,33000,TU6789B,Economica,Aterrizado
300,Zabrina,Olivares,12000,TU6789B,Economica,Aterrizado
301,Cos,Alarcon,30000,TU6789B,Economica,Aterrizado
302,Ron,Gallardo,20000,TU6789B,Economica,Aterrizado
303,Charin,Ortiz,12000,TU6789B,Economica,Aterrizado
304,Coleman,Garrido,33000,TU6789B,Economica,Aterrizado
305,Jacinda,Salazar,50000,TU6789B,Economica,Aterrizado
306,Silvan,Guzman,12000,TU6789B,Economica,Aterrizado
307,Renie,Henriquez,33000,TU6789B,Economica,Aterrizado
308,Davide,Saavedra,42000,TU6789B,Economica,Aterrizado
309,Ernestus,Navarro,12000,TU6789B,Economica,Aterrizado
310,Brnaba,Aguilera,37000,TU6789B,Economica,Aterrizado
311,Tabor,Parra,37000,TU6789B,Economica,Aterrizado
312,Lenci,Romero,42000,TU6789B,Economica,Aterrizado
313,Franchot,Aravena,12000,TU6789B,Economica,Aterrizado
314,Charisse,Vargas,50000,TU6789B,Economica,Aterrizado
315,Timothea,Vazquez,20000,TU6789B,Economica,Aterrizado
316,Angelika,Caceres,50000,BA2491A,Economica,Aterrizado
317,Web,Yaniez,37000,BA2491A,Economica,Aterrizado
318,Urban,Leiva,10000,BA2491A,Economica,Aterrizado
319,Fan,Escobar,18000,BA2491A,Economica,Aterrizado
320,Donaugh,Ruiz,12000,BA2491A,Economica,Aterrizado
321,Wilona,Valdes,25000,BA2491A,Economica,Aterrizado
322,Richard,Vidal,42000,BA2491A,Economica,Aterrizado
323,Hilary,Salinas,37000,BA2491A,Economica,Aterrizado
324,Ad,Zuniga,33000,BA2491A,Economica,Aterrizado
325,Maynord,Peña,42000,BA2491A,Economica,Aterrizado
326,Lina,Godoy,12000,TU6789B,Economica,Aterrizado
327,Nerty,Lagos,20000,TU6789B,Economica,Aterrizado
328,Matias,Maldonado,33000,TU6789B,Economica,Aterrizado
329,Urbano,Bustos,50000,TU6789B,Economica,Aterrizado
330,Rosemarie,Medina,33000,TU6789B,Economica,Aterrizado
331,Booth,Pino,15000,TU6789B,Economica,Aterrizado
332,Eden,Palma,18000,TU6789B,Economica,Aterrizado
333,Cornie,Moreno,15000,TU6789B,Economica,Aterrizado
334,Isak,Sanhueza,20000,TU6789B,Economica,Aterrizado
335,Rand,Carvajal,20000,TU6789B,Economica,Aterrizado
336,Dominique,Navarrete,37000,TU6789B,Economica,Aterrizado
337,Lira,Saez,30000,TU6789B,Economica,Aterrizado
338,Filbert,Alvarado,20000,TU6789B,Economica,Aterrizado
339,Nona,Donoso,30000,TU6789B,Economica,Aterrizado
340,Melloney,Poblete,33000,TU6789B,Economica,Aterrizado
341,Rafaello,Bustamante,37000,TU6789B,Economica,Aterrizado
342,Floria,Toro,12000,TU6789B,Economica,Aterrizado
343,Johannes,Ortega,18000,TU6789B,Economica,Aterrizado
344,Genevra,Venegas,10000,TU6789B,Economica,Aterrizado
345,Aldric,Guerrero,50000,TU6789B,Economica,Aterrizado
346,Janeta,Mendoza,10000,TU6789B,Economica,Aterrizado
347,Tarra,Farias,12000,TU6789B,Economica,Aterrizado
348,Jefferey,San Martin,33000,TU6789B,Economica,Aterrizado
349,Cassie,Gonzalez,50000,TU6789B,Economica,Aterrizado
350,Maiga,Fernandez,20000,TU6789B,Economica,Aterrizado
351,Heddi,Rodriguez,20000,TU6789B,Economica,Aterrizado
352,Marieann,Lopez,50000,TU6789B,Economica,Aterrizado
353,Carita,Martinez,42000,TU6789B,Economica,Aterrizado
354,Kurtis,Sanchez,50000,TU6789B,Economica,Aterrizado
355,Wilfred,Perez,20000,TU6789B,Economica,Aterrizado
356,Isabelle,Gomez,20000,TU6789B,Economica,Aterrizado
357,Nisse,Martin,37000,TU6789B,Economica,Aterrizado
358,Ula,Jimenez,50000,TU6789B,Economica,Aterrizado
359,Tully,Ruiz,18000,TU6789B,Economica,Aterrizado
360,Honor,Hernandez,30000,TU6789B,Economica,Aterrizado
361,Sinclair,Diaz,50000,TU6789B,Economica,Aterrizado
362,Buddy,Moreno,50000,TU6789B,Economica,Aterrizado
363,Neilla,Alvarez,50000,TU6789B,Economica,Aterrizado
364,Junie,Munioz,20000,TU6789B,Economica,Aterrizado
365,Neely,Romero,20000,TU6789B,Economica,Aterrizado
366,Klarrisa,Alonso,18000,TU6789B,Economica,Aterrizado
367,Maryellen,Gutierrez,37000,TU6789B,Economica,Aterrizado
368,Clywd,Navarro,33000,TU6789B,Economica,Aterrizado
369,Deni,Torres,42000,TU6789B,Economica,Aterrizado
370,Ingrim,Dominguez,30000,TU6789B,Economica,Aterrizado
371,Franni,Vazquez,42000,TU6789B,Economica,Aterrizado
372,Andy,Ramos,37000,TU6789B,Economica,Aterrizado
373,Veronica,Gonzalez,42000,TU6789B,Economica,Aterrizado
374,Dalis,Munioz,42000,TU6789B,Economica,Aterrizado
375,Nanni,Rojas,25000,BA2491A,Economica,Aterrizado
376,Vikky,Diaz,15000,BA2491A,Economica,Aterrizado
377,Hussein,Perez,25000,BA2491A,Economica,Aterrizado
378,Brigg,Soto,10000,BA2491A,Economica,Aterrizado
379,Crawford,Contreras,12000,BA2491A,Economica,Aterrizado
380,Fran,Silva,30000,BA2491A,Economica,Aterrizado
381,Silas,Martinez,15000,BA2491A,Economica,Aterrizado
382,Alister,Sepulveda,33000,BA2491A,Economica,Aterrizado
383,George,Morales,15000,TU6789B,Economica,Aterrizado
384,Nonnah,Rodriguez,25000,TU6789B,Economica,Aterrizado
385,Gayel,Lopez,20000,TU6789B,Economica,Aterrizado
386,Demeter,Fuentes,10000,TU6789B,Economica,Aterrizado
387,Juliann,Hernandez,50000,TU6789B,Economica,Aterrizado
388,Shauna,Torres,25000,TU6789B,Economica,Aterrizado
389,Anna-maria,Araya,42000,TU6789B,Economica,Aterrizado
390,Ag,Flores,50000,TU6789B,Economica,Aterrizado
391,Sherwin,Espinoza,50000,MM0987B,Clase ejecutiva,En Horario
392,Vikki,Valenzuela,33000,MM0987B,Clase ejecutiva,En Horario
393,Barret,Castillo,10000,MM0987B,Clase ejecutiva,En Horario
394,Gaelan,Tapia,25000,MM0987B,Clase ejecutiva,En Horario
395,Livy,Reyes,20000,MM0987B,Clase ejecutiva,En Horario
396,Iorgos,Gutierrez,18000,MM0987B,Clase ejecutiva,En Horario
397,Charil,Castro,33000,MM0987B,Clase ejecutiva,En Horario
398,Easter,Pizarro,30000,MM0987B,Clase ejecutiva,En Horario
399,Esdras,Alvarez,37000,MM0987B,Clase ejecutiva,En Horario
400,Prince,Vasquez,25000,MM0987B,Economica,En Horario
401,Vail,Sanchez,33000,MM0987B,Economica,En Horario
402,Rachel,Fernandez,12000,MM0987B,Economica,En Horario
403,Bar,Ramirez,20000,TU6789B,Economica,Aterrizado
404,Willa,Carrasco,30000,TU6789B,Economica,Aterrizado
405,Amerigo,Gomez,33000,TU6789B,Economica,Aterrizado
406,Fredric,Cortes,50000,TU6789B,Economica,Aterrizado
